URL,Protocol,Method,Result,Type,Received,Taken (ms),Initiator,Wait‎‎,Start‎‎,Request‎‎,Response‎‎,Cache read‎‎,Gap‎‎
https://auth-api.vndirect.com.vn/vtos/auth,HTTPS,OPTIONS,200,,0.72 KB,1.26 s,CORS Preflight,0,969,297,0,0,0
https://auth-api.vndirect.com.vn/vtos/auth,HTTPS,POST,200,application/json,1.75 KB,375 ms,XMLHttpRequest,1266,0,0,375,0,-375
https://www.vndirect.com.vn/trade/giao-dich-co-phieu/j_idg_security_check.shtml,HTTPS,GET,302,,349 B,2.15 s,navigate,16,1359,797,0,0,32578
http://www.vndirect.com.vn/trade/giao-dich-co-phieu/j_idg_security_check.shtml,HTTP,GET,301,text/html,377 B,0.70 s,navigate,2172,390,313,0,0,31875
https://www.vndirect.com.vn/trade/giao-dich-co-phieu/j_idg_security_check.shtml,HTTPS,GET,302,,367 B,328 ms,navigate,2875,0,328,0,0,31547
https://www.vndirect.com.vn/trade/giao-dich-co-phieu/dat-lenh-mua-ban.shtml?request_locale=en_GB,HTTPS,GET,200,text/html,76.86 KB,0.93 s,navigate,3203,0,938,0,0,30609
https://www.vndirect.com.vn/trade/css/stylesheet.css?time=20170801071642,HTTPS,GET,200,text/css,54.98 KB,296 ms,"<link rel=""stylesheet"">",4141,0,296,0,0,30313
https://www.vndirect.com.vn/trade/css/notification.css?time=20170801071642,HTTPS,GET,200,text/css,3.92 KB,281 ms,"<link rel=""stylesheet"">",4141,15,266,0,0,30328
https://www.vndirect.com.vn/trade/css/style.css?time=20170801071642,HTTPS,GET,200,text/css,12.25 KB,328 ms,"<link rel=""stylesheet"">",4141,15,313,0,0,30281
https://www.vndirect.com.vn/trade/css/jquery.validation/default.css?time=20170801071642,HTTPS,GET,200,text/css,0.65 KB,328 ms,"<link rel=""stylesheet"">",4156,0,328,0,0,30266
https://www.vndirect.com.vn/trade/css/jquery.ui/redmond/jquery-ui-1.7.2.custom.css?time=20170801071642,HTTPS,GET,200,text/css,27.58 KB,328 ms,"<link rel=""stylesheet"">",4156,0,328,0,0,30266
